                               Open      High       Low     Close  Volume  \
Datetime                                                                    
2024-10-22 00:00:00+01:00  1.298212  1.298212  1.298212  1.298212       0   
2024-10-22 00:01:00+01:00  1.298111  1.298111  1.298111  1.298111       0   
2024-10-22 00:02:00+01:00  1.298162  1.298162  1.298162  1.298162       0   
2024-10-22 00:03:00+01:00  1.298229  1.298229  1.298229  1.298229       0   
2024-10-22 00:04:00+01:00  1.298179  1.298179  1.298179  1.298179       0   
2024-10-22 00:05:00+01:00  1.298179  1.298179  1.298179  1.298179       0   
2024-10-22 00:06:00+01:00  1.298196  1.298196  1.298196  1.298196       0   
2024-10-22 00:07:00+01:00  1.298145  1.298145  1.298145  1.298145       0   
2024-10-22 00:08:00+01:00  1.298145  1.298145  1.298145  1.298145       0   
2024-10-22 00:09:00+01:00  1.298196  1.298196  1.298196  1.298196       0   
2024-10-22 00:10:00+01:00  1.298196  1.298196  1.298196  1.298196       0   
2024-10-22 00:11:00+01:00  1.298229  1.298229  1.298229  1.298229       0   
2024-10-22 00:12:00+01:00  1.298280  1.298280  1.298280  1.298280       0   
2024-10-22 00:13:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:14:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 00:15:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 00:16:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:17:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 00:18:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 00:19:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:20:00+01:00  1.298364  1.298364  1.298364  1.298364       0   
2024-10-22 00:21:00+01:00  1.298381  1.298381  1.298381  1.298381       0   
2024-10-22 00:22:00+01:00  1.298364  1.298364  1.298364  1.298364       0   
2024-10-22 00:23:00+01:00  1.298381  1.298381  1.298381  1.298381       0   
2024-10-22 00:24:00+01:00  1.298381  1.298381  1.298381  1.298381       0   
2024-10-22 00:25:00+01:00  1.298398  1.298398  1.298398  1.298398       0   
2024-10-22 00:26:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 00:27:00+01:00  1.298381  1.298381  1.298381  1.298381       0   
2024-10-22 00:28:00+01:00  1.298398  1.298398  1.298398  1.298398       0   
2024-10-22 00:29:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 00:30:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:31:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:32:00+01:00  1.298347  1.298347  1.298347  1.298347       0   
2024-10-22 00:33:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:34:00+01:00  1.298196  1.298196  1.298196  1.298196       0   
2024-10-22 00:35:00+01:00  1.298196  1.298196  1.298196  1.298196       0   
2024-10-22 00:36:00+01:00  1.298196  1.298196  1.298196  1.298196       0   
2024-10-22 00:37:00+01:00  1.298212  1.298212  1.298212  1.298212       0   
2024-10-22 00:38:00+01:00  1.298212  1.298212  1.298212  1.298212       0   
2024-10-22 00:39:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:40:00+01:00  1.298246  1.298246  1.298246  1.298246       0   
2024-10-22 00:41:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:42:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 00:43:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 00:44:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:45:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:46:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 00:47:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 00:48:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 00:49:00+01:00  1.298280  1.298280  1.298280  1.298280       0   
2024-10-22 00:50:00+01:00  1.298280  1.298280  1.298280  1.298280       0   
2024-10-22 00:51:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 00:52:00+01:00  1.298280  1.298280  1.298280  1.298280       0   
2024-10-22 00:53:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:54:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:55:00+01:00  1.298297  1.298297  1.298297  1.298297       0   
2024-10-22 00:56:00+01:00  1.298246  1.298246  1.298246  1.298246       0   
2024-10-22 00:57:00+01:00  1.298179  1.298179  1.298179  1.298179       0   
2024-10-22 00:58:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 00:59:00+01:00  1.298381  1.298381  1.298381  1.298381       0   
2024-10-22 01:00:00+01:00  1.298246  1.298246  1.298246  1.298246       0   
2024-10-22 01:01:00+01:00  1.298533  1.298533  1.298533  1.298533       0   
2024-10-22 01:02:00+01:00  1.298499  1.298499  1.298499  1.298499       0   
2024-10-22 01:03:00+01:00  1.298465  1.298465  1.298465  1.298465       0   
2024-10-22 01:04:00+01:00  1.298330  1.298330  1.298330  1.298330       0   
2024-10-22 01:05:00+01:00  1.298246  1.298246  1.298246  1.298246       0   
2024-10-22 01:06:00+01:00  1.298313  1.298313  1.298313  1.298313       0   
2024-10-22 01:07:00+01:00  1.298499  1.298499  1.298499  1.298499       0   
2024-10-22 01:08:00+01:00  1.298432  1.298432  1.298432  1.298432       0   
2024-10-22 01:09:00+01:00  1.298465  1.298465  1.298465  1.298465       0   
2024-10-22 01:10:00+01:00  1.298533  1.298533  1.298533  1.298533       0   
2024-10-22 01:11:00+01:00  1.298533  1.298533  1.298533  1.298533       0   
2024-10-22 01:12:00+01:00  1.298398  1.298398  1.298398  1.298398       0   
2024-10-22 01:13:00+01:00  1.298347  1.298347  1.298347  1.298347       0   
2024-10-22 01:14:00+01:00  1.298347  1.298347  1.298347  1.298347       0   
2024-10-22 01:15:00+01:00  1.298516  1.298516  1.298516  1.298516       0   
2024-10-22 01:16:00+01:00  1.298651  1.298651  1.298651  1.298651       0   
2024-10-22 01:17:00+01:00  1.298600  1.298600  1.298600  1.298600       0   
2024-10-22 01:18:00+01:00  1.298617  1.298617  1.298617  1.298617       0   
2024-10-22 01:19:00+01:00  1.298482  1.298482  1.298482  1.298482       0   
2024-10-22 01:20:00+01:00  1.298465  1.298465  1.298465  1.298465       0   
2024-10-22 01:21:00+01:00  1.298550  1.298550  1.298550  1.298550       0   
2024-10-22 01:22:00+01:00  1.298701  1.298701  1.298701  1.298701       0   
2024-10-22 01:23:00+01:00  1.298718  1.298718  1.298718  1.298718       0   
2024-10-22 01:24:00+01:00  1.298668  1.298668  1.298668  1.298668       0   
2024-10-22 01:25:00+01:00  1.298735  1.298735  1.298735  1.298735       0   
2024-10-22 01:26:00+01:00  1.298701  1.298701  1.298701  1.298701       0   
2024-10-22 01:27:00+01:00  1.298836  1.298836  1.298836  1.298836       0   
2024-10-22 01:28:00+01:00  1.298550  1.298550  1.298550  1.298550       0   
2024-10-22 01:29:00+01:00  1.298566  1.298566  1.298566  1.298566       0   
2024-10-22 01:30:00+01:00  1.298583  1.298583  1.298583  1.298583       0   
2024-10-22 01:31:00+01:00  1.298634  1.298634  1.298634  1.298634       0   
2024-10-22 01:32:00+01:00  1.298634  1.298634  1.298634  1.298634       0   
2024-10-22 01:33:00+01:00  1.298634  1.298634  1.298634  1.298634       0   
2024-10-22 01:34:00+01:00  1.298651  1.298651  1.298651  1.298651       0   
2024-10-22 01:35:00+01:00  1.298651  1.298651  1.298651  1.298651       0   
2024-10-22 01:36:00+01:00  1.298566  1.298566  1.298566  1.298566       0   
2024-10-22 01:37:00+01:00  1.298583  1.298583  1.298583  1.298583       0   
2024-10-22 01:38:00+01:00  1.298583  1.298583  1.298583  1.298583       0   
2024-10-22 01:39:00+01:00  1.298415  1.298415  1.298415  1.298415       0   
2024-10-22 01:40:00+01:00  1.298448  1.298448  1.298448  1.298448       0   
2024-10-22 01:41:00+01:00  1.298415  1.298415  1.298415  1.298415       0   
2024-10-22 01:42:00+01:00  1.298111  1.298111  1.298111  1.298111       0   
2024-10-22 01:43:00+01:00  1.298179  1.298179  1.298179  1.298179       0   
2024-10-22 01:44:00+01:00  1.298145  1.298145  1.298145  1.298145       0   
2024-10-22 01:45:00+01:00  1.298162  1.298162  1.298162  1.298162       0   
2024-10-22 01:46:00+01:00  1.298111  1.298111  1.298111  1.298111       0   
2024-10-22 01:47:00+01:00  1.298128  1.298128  1.298128  1.298128       0   
2024-10-22 01:48:00+01:00  1.298162  1.298162  1.298162  1.298162       0   
2024-10-22 01:49:00+01:00  1.298027  1.298027  1.298027  1.298027       0   
2024-10-22 01:50:00+01:00  1.298044  1.298044  1.298044  1.298044       0   
2024-10-22 01:51:00+01:00  1.298078  1.298078  1.298078  1.298078       0   
2024-10-22 01:52:00+01:00  1.298179  1.298179  1.298179  1.298179       0   
2024-10-22 01:53:00+01:00  1.298128  1.298128  1.298128  1.298128       0   
2024-10-22 01:54:00+01:00  1.298280  1.298280  1.298280  1.298280       0   
2024-10-22 01:55:00+01:00  1.298415  1.298415  1.298415  1.298415       0   
2024-10-22 01:56:00+01:00  1.298280  1.298280  1.298280  1.298280       0   
2024-10-22 01:57:00+01:00  1.298162  1.298162  1.298162  1.298162       0   
2024-10-22 01:58:00+01:00  1.298111  1.298111  1.298111  1.298111       0   
2024-10-22 01:59:00+01:00  1.298128  1.298128  1.298128  1.298128       0   
2024-10-22 02:00:00+01:00  1.298128  1.298128  1.298128  1.298128       0   
2024-10-22 02:01:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 02:02:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 02:03:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 02:05:00+01:00  1.298263  1.298263  1.298263  1.298263       0   
2024-10-22 02:06:00+01:00  1.298381  1.298381  1.298381  1.298381       0   
2024-10-22 02:07:00+01:00  1.298364  1.298364  1.298364  1.298364       0   
2024-10-22 02:08:00+01:00  1.298566  1.298566  1.298566  1.298566       0   
2024-10-22 02:09:00+01:00  1.298752  1.298752  1.298752  1.298752       0   
2024-10-22 02:10:00+01:00  1.298634  1.298634  1.298634  1.298634       0   
2024-10-22 02:11:00+01:00  1.298583  1.298583  1.298583  1.298583       0   
2024-10-22 02:12:00+01:00  1.298566  1.298566  1.298566  1.298566       0   
2024-10-22 02:13:00+01:00  1.298566  1.298566  1.298566  1.298566       0   
2024-10-22 02:14:00+01:00  1.298617  1.298617  1.298617  1.298617       0   
2024-10-22 02:15:00+01:00  1.298634  1.298634  1.298634  1.298634       0   
2024-10-22 02:16:00+01:00  1.298583  1.298583  1.298583  1.298583       0   
2024-10-22 02:17:00+01:00  1.298550  1.298550  1.298550  1.298550       0   
2024-10-22 02:18:00+01:00  1.298566  1.298566  1.298566  1.298566       0   
2024-10-22 02:19:00+01:00  1.298651  1.298651  1.298651  1.298651       0   
2024-10-22 02:20:00+01:00  1.298802  1.298802  1.298802  1.298802       0   
2024-10-22 02:21:00+01:00  1.298634  1.298634  1.298634  1.298634       0   
2024-10-22 02:22:00+01:00  1.298668  1.298668  1.298668  1.298668       0   
