                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-18 00:00:00+01:00  195.455002  195.485992  195.447998  195.473007   
2024-10-18 00:01:00+01:00  195.472000  195.490005  195.470001  195.481995   
2024-10-18 00:02:00+01:00  195.481995  195.487000  195.460007  195.468994   
2024-10-18 00:03:00+01:00  195.470001  195.477005  195.457993  195.464005   
2024-10-18 00:04:00+01:00  195.464005  195.466003  195.453995  195.464996   
2024-10-18 00:05:00+01:00  195.462006  195.475006  195.453995  195.462006   
2024-10-18 00:06:00+01:00  195.468994  195.485001  195.462006  195.479996   
2024-10-18 00:07:00+01:00  195.481995  195.487000  195.468002  195.472000   
2024-10-18 00:08:00+01:00  195.464005  195.481995  195.460007  195.472000   
2024-10-18 00:09:00+01:00  195.468002  195.481003  195.457993  195.466003   
2024-10-18 00:10:00+01:00  195.460007  195.477005  195.460007  195.468002   
2024-10-18 00:11:00+01:00  195.479004  195.501999  195.473007  195.496002   
2024-10-18 00:12:00+01:00  195.496994  195.507996  195.492004  195.494003   
2024-10-18 00:13:00+01:00  195.496002  195.498993  195.488998  195.496994   
2024-10-18 00:14:00+01:00  195.496994  195.498001  195.475998  195.479996   
2024-10-18 00:15:00+01:00  195.481995  195.492996  195.472000  195.483994   
2024-10-18 00:16:00+01:00  195.485992  195.494003  195.481995  195.490005   
2024-10-18 00:17:00+01:00  195.488998  195.498993  195.485992  195.488007   
2024-10-18 00:18:00+01:00  195.488007  195.503006  195.483994  195.494003   
2024-10-18 00:19:00+01:00  195.494003  195.501999  195.487000  195.494995   
2024-10-18 00:20:00+01:00  195.492004  195.498993  195.481995  195.490997   
2024-10-18 00:21:00+01:00  195.485992  195.494995  195.477997  195.483994   
2024-10-18 00:22:00+01:00  195.481995  195.501999  195.481995  195.481995   
2024-10-18 00:23:00+01:00  195.481995  195.496994  195.470993  195.475998   
2024-10-18 00:24:00+01:00  195.473999  195.492004  195.473007  195.492004   
2024-10-18 00:25:00+01:00  195.483994  195.490997  195.479996  195.481003   
2024-10-18 00:26:00+01:00  195.481003  195.488007  195.468994  195.475998   
2024-10-18 00:27:00+01:00  195.472000  195.483002  195.466003  195.468002   
2024-10-18 00:28:00+01:00  195.468994  195.490005  195.466003  195.468994   
2024-10-18 00:29:00+01:00  195.468994  195.477997  195.457993  195.464005   
