                               Open      High       Low     Close  Volume  \
Datetime                                                                    
2024-10-23 00:00:00+01:00  10.91505  10.91799  10.91197  10.91731       0   
2024-10-23 00:01:00+01:00  10.91781  10.91782  10.91134  10.91528       0   
2024-10-23 00:02:00+01:00  10.91552  10.91802  10.91185  10.91592       0   
2024-10-23 00:03:00+01:00  10.91592  10.91748  10.91143  10.91710       0   
2024-10-23 00:04:00+01:00  10.91633  10.91759  10.91143  10.91648       0   
2024-10-23 00:05:00+01:00  10.91647  10.91807  10.91120  10.91642       0   
2024-10-23 00:06:00+01:00  10.91643  10.91766  10.91298  10.91760       0   
2024-10-23 00:07:00+01:00  10.91683  10.91778  10.91277  10.91657       0   
2024-10-23 00:08:00+01:00  10.91665  10.91747  10.91247  10.91693       0   
2024-10-23 00:09:00+01:00  10.91570  10.91761  10.91247  10.91645       0   
2024-10-23 00:10:00+01:00  10.91712  10.91712  10.91247  10.91645       0   
2024-10-23 00:11:00+01:00  10.91645  10.91701  10.91247  10.91695       0   
2024-10-23 00:12:00+01:00  10.91645  10.91754  10.91173  10.91625       0   
2024-10-23 00:13:00+01:00  10.91625  10.91769  10.91277  10.91685       0   
2024-10-23 00:14:00+01:00  10.91705  10.91774  10.91277  10.91689       0   
2024-10-23 00:15:00+01:00  10.91771  10.91771  10.91247  10.91695       0   
2024-10-23 00:16:00+01:00  10.91754  10.91822  10.91277  10.91720       0   
2024-10-23 00:17:00+01:00  10.91719  10.91818  10.91277  10.91675       0   
2024-10-23 00:18:00+01:00  10.91700  10.91798  10.91298  10.91726       0   
2024-10-23 00:19:00+01:00  10.91735  10.91828  10.91228  10.91705       0   
2024-10-23 00:20:00+01:00  10.91736  10.91809  10.91370  10.91754       0   
2024-10-23 00:21:00+01:00  10.91560  10.91752  10.91370  10.91370       0   
2024-10-23 00:22:00+01:00  10.91700  10.91822  10.91370  10.91370       0   
2024-10-23 00:23:00+01:00  10.91600  10.91870  10.91463  10.91463       0   
2024-10-23 00:24:00+01:00  10.91768  10.91883  10.91463  10.91775       0   
2024-10-23 00:25:00+01:00  10.91765  10.91866  10.91432  10.91432       0   
2024-10-23 00:26:00+01:00  10.91785  10.91896  10.91390  10.91805       0   
2024-10-23 00:27:00+01:00  10.91815  10.91875  10.91348  10.91775       0   
2024-10-23 00:28:00+01:00  10.91590  10.91852  10.91421  10.91765       0   
2024-10-23 00:29:00+01:00  10.91774  10.91837  10.91421  10.91421       0   
2024-10-23 00:30:00+01:00  10.91580  10.91868  10.91348  10.91755       0   
2024-10-23 00:31:00+01:00  10.91755  10.91847  10.91379  10.91775       0   
2024-10-23 00:32:00+01:00  10.91774  10.91831  10.91421  10.91765       0   
2024-10-23 00:33:00+01:00  10.91774  10.91840  10.91421  10.91735       0   
2024-10-23 00:34:00+01:00  10.91735  10.91799  10.91312  10.91725       0   
2024-10-23 00:35:00+01:00  10.91550  10.91822  10.91328  10.91744       0   
2024-10-23 00:36:00+01:00  10.91745  10.91818  10.91348  10.91818       0   
2024-10-23 00:37:00+01:00  10.91680  10.91854  10.91441  10.91745       0   
2024-10-23 00:38:00+01:00  10.91570  10.92034  10.91441  10.92008       0   
2024-10-23 00:39:00+01:00  10.91931  10.92087  10.91395  10.92025       0   
2024-10-23 00:40:00+01:00  10.92025  10.92111  10.91719  10.92069       0   
