                              Open     High      Low    Close  Volume  \
Datetime                                                                
2024-09-24 14:52:00+01:00  0.83249  0.83249  0.83234  0.83238       0   
2024-09-24 14:54:00+01:00  0.83238  0.83260  0.83235  0.83254       0   
2024-09-24 14:56:00+01:00  0.83252  0.83266  0.83251  0.83262       0   
2024-09-24 14:58:00+01:00  0.83262  0.83273  0.83243  0.83247       0   
2024-09-24 15:00:00+01:00  0.83247  0.83282  0.83237  0.83263       0   
2024-09-24 15:02:00+01:00  0.83264  0.83265  0.83240  0.83253       0   
2024-09-24 15:04:00+01:00  0.83249  0.83255  0.83233  0.83237       0   
2024-09-24 15:06:00+01:00  0.83240  0.83260  0.83235  0.83251       0   
2024-09-24 15:08:00+01:00  0.83251  0.83277  0.83250  0.83267       0   
2024-09-24 15:10:00+01:00  0.83271  0.83290  0.83269  0.83281       0   
2024-09-24 15:12:00+01:00  0.83279  0.83290  0.83266  0.83282       0   
2024-09-24 15:14:00+01:00  0.83281  0.83290  0.83270  0.83286       0   
2024-09-24 15:16:00+01:00  0.83286  0.83300  0.83284  0.83295       0   
2024-09-24 15:18:00+01:00  0.83295  0.83305  0.83289  0.83297       0   
2024-09-24 15:20:00+01:00  0.83296  0.83315  0.83289  0.83313       0   
2024-09-24 15:22:00+01:00  0.83312  0.83313  0.83291  0.83298       0   
2024-09-24 15:24:00+01:00  0.83298  0.83310  0.83296  0.83301       0   
2024-09-24 15:26:00+01:00  0.83304  0.83313  0.83300  0.83309       0   
2024-09-24 15:28:00+01:00  0.83309  0.83317  0.83303  0.83304       0   
2024-09-24 15:30:00+01:00  0.83301  0.83305  0.83293  0.83295       0   
2024-09-24 15:32:00+01:00  0.83297  0.83300  0.83290  0.83295       0   
2024-09-24 15:34:00+01:00  0.83295  0.83300  0.83284  0.83295       0   
2024-09-24 15:36:00+01:00  0.83298  0.83314  0.83292  0.83305       0   
2024-09-24 15:38:00+01:00  0.83304  0.83311  0.83297  0.83303       0   
2024-09-24 15:40:00+01:00  0.83305  0.83318  0.83300  0.83308       0   
2024-09-24 15:42:00+01:00  0.83306  0.83308  0.83294  0.83301       0   
2024-09-24 15:44:00+01:00  0.83302  0.83303  0.83289  0.83298       0   
2024-09-24 15:46:00+01:00  0.83299  0.83300  0.83277  0.83280       0   
2024-09-24 15:48:00+01:00  0.83282  0.83288  0.83267  0.83269       0   
2024-09-24 15:50:00+01:00  0.83270  0.83274  0.83260  0.83269       0   
2024-09-24 15:52:00+01:00  0.83270  0.83283  0.83266  0.83278       0   
2024-09-24 15:54:00+01:00  0.83277  0.83290  0.83270  0.83287       0   
2024-09-24 15:56:00+01:00  0.83284  0.83292  0.83279  0.83288       0   
2024-09-24 15:58:00+01:00  0.83289  0.83292  0.83275  0.83278       0   
2024-09-24 16:00:00+01:00  0.83275  0.83283  0.83266  0.83268       0   
2024-09-24 16:02:00+01:00  0.83266  0.83280  0.83262  0.83278       0   
2024-09-24 16:04:00+01:00  0.83278  0.83286  0.83267  0.83285       0   
2024-09-24 16:06:00+01:00  0.83284  0.83292  0.83275  0.83289       0   
2024-09-24 16:08:00+01:00  0.83289  0.83296  0.83281  0.83284       0   
2024-09-24 16:10:00+01:00  0.83287  0.83290  0.83278  0.83288       0   
2024-09-24 16:12:00+01:00  0.83288  0.83304  0.83278  0.83301       0   
2024-09-24 16:14:00+01:00  0.83302  0.83320  0.83299  0.83318       0   
2024-09-24 16:16:00+01:00  0.83317  0.83326  0.83316  0.83324       0   
2024-09-24 16:18:00+01:00  0.83322  0.83333  0.83320  0.83326       0   
2024-09-24 16:20:00+01:00  0.83329  0.83332  0.83320  0.83324       0   
2024-09-24 16:22:00+01:00  0.83324  0.83333  0.83321  0.83327       0   
2024-09-24 16:24:00+01:00  0.83329  0.83340  0.83325  0.83336       0   
2024-09-24 16:26:00+01:00  0.83337  0.83350  0.83335  0.83343       0   
2024-09-24 16:28:00+01:00  0.83342  0.83354  0.83340  0.83342       0   
2024-09-24 16:30:00+01:00  0.83340  0.83344  0.83327  0.83336       0   
2024-09-24 16:32:00+01:00  0.83337  0.83370  0.83335  0.83370       0   
2024-09-24 16:34:00+01:00  0.83367  0.83371  0.83360  0.83366       0   
2024-09-24 16:36:00+01:00  0.83364  0.83370  0.83360  0.83368       0   
2024-09-24 16:38:00+01:00  0.83368  0.83370  0.83356  0.83368       0   
2024-09-24 16:40:00+01:00  0.83367  0.83380  0.83358  0.83376       0   
2024-09-24 16:42:00+01:00  0.83374  0.83385  0.83374  0.83381       0   
2024-09-24 16:44:00+01:00  0.83381  0.83392  0.83378  0.83387       0   
2024-09-24 16:46:00+01:00  0.83387  0.83388  0.83368  0.83373       0   
2024-09-24 16:48:00+01:00  0.83373  0.83385  0.83369  0.83378       0   
2024-09-24 16:50:00+01:00  0.83379  0.83383  0.83370  0.83370       0   
2024-09-24 16:52:00+01:00  0.83373  0.83381  0.83365  0.83370       0   
2024-09-24 16:54:00+01:00  0.83369  0.83373  0.83356  0.83358       0   
2024-09-24 16:56:00+01:00  0.83359  0.83376  0.83354  0.83370       0   
2024-09-24 16:58:00+01:00  0.83374  0.83377  0.83355  0.83359       0   
2024-09-24 17:00:00+01:00  0.83358  0.83359  0.83335  0.83340       0   
2024-09-24 17:02:00+01:00  0.83341  0.83344  0.83330  0.83335       0   
2024-09-24 17:04:00+01:00  0.83336  0.83347  0.83330  0.83332       0   
2024-09-24 17:06:00+01:00  0.83332  0.83340  0.83320  0.83325       0   
2024-09-24 17:08:00+01:00  0.83324  0.83330  0.83323  0.83325       0   
2024-09-24 17:10:00+01:00  0.83325  0.83333  0.83313  0.83320       0   
2024-09-24 17:12:00+01:00  0.83320  0.83322  0.83312  0.83313       0   
2024-09-24 17:14:00+01:00  0.83315  0.83321  0.83304  0.83315       0   
2024-09-24 17:16:00+01:00  0.83317  0.83318  0.83303  0.83311       0   
2024-09-24 17:18:00+01:00  0.83314  0.83315  0.83307  0.83312       0   
2024-09-24 17:20:00+01:00  0.83312  0.83320  0.83309  0.83313       0   
2024-09-24 17:22:00+01:00  0.83312  0.83313  0.83303  0.83305       0   
2024-09-24 17:24:00+01:00  0.83306  0.83311  0.83303  0.83306       0   
2024-09-24 17:26:00+01:00  0.83305  0.83311  0.83303  0.83310       0   
2024-09-24 17:28:00+01:00  0.83312  0.83317  0.83304  0.83308       0   
2024-09-24 17:30:00+01:00  0.83310  0.83324  0.83308  0.83322       0   
2024-09-24 17:32:00+01:00  0.83320  0.83322  0.83314  0.83316       0   
2024-09-24 17:34:00+01:00  0.83317  0.83323  0.83315  0.83321       0   
2024-09-24 17:36:00+01:00  0.83319  0.83322  0.83301  0.83304       0   
2024-09-24 17:38:00+01:00  0.83304  0.83310  0.83300  0.83303       0   
2024-09-24 17:40:00+01:00  0.83303  0.83310  0.83300  0.83310       0   
