                               Open      High       Low     Close  Volume  \
Datetime                                                                    
2024-10-18 00:00:00+01:00  1.301219  1.301219  1.301219  1.301219       0   
2024-10-18 00:01:00+01:00  1.301270  1.301270  1.301270  1.301270       0   
2024-10-18 00:02:00+01:00  1.301236  1.301236  1.301236  1.301236       0   
2024-10-18 00:03:00+01:00  1.301287  1.301287  1.301287  1.301287       0   
2024-10-18 00:04:00+01:00  1.301287  1.301287  1.301287  1.301287       0   
2024-10-18 00:05:00+01:00  1.301219  1.301219  1.301219  1.301219       0   
2024-10-18 00:06:00+01:00  1.301253  1.301253  1.301253  1.301253       0   
2024-10-18 00:07:00+01:00  1.301287  1.301287  1.301287  1.301287       0   
2024-10-18 00:08:00+01:00  1.301270  1.301270  1.301270  1.301270       0   
2024-10-18 00:09:00+01:00  1.301253  1.301253  1.301253  1.301253       0   
2024-10-18 00:10:00+01:00  1.301287  1.301287  1.301287  1.301287       0   
2024-10-18 00:11:00+01:00  1.301270  1.301270  1.301270  1.301270       0   
2024-10-18 00:12:00+01:00  1.301253  1.301253  1.301253  1.301253       0   
2024-10-18 00:13:00+01:00  1.301253  1.301253  1.301253  1.301253       0   
2024-10-18 00:14:00+01:00  1.301253  1.301253  1.301253  1.301253       0   
2024-10-18 00:15:00+01:00  1.301304  1.301304  1.301304  1.301304       0   
2024-10-18 00:16:00+01:00  1.301355  1.301355  1.301355  1.301355       0   
2024-10-18 00:17:00+01:00  1.301372  1.301372  1.301372  1.301372       0   
2024-10-18 00:18:00+01:00  1.301355  1.301355  1.301355  1.301355       0   
2024-10-18 00:19:00+01:00  1.301355  1.301355  1.301355  1.301355       0   
2024-10-18 00:20:00+01:00  1.301321  1.301321  1.301321  1.301321       0   
2024-10-18 00:21:00+01:00  1.301304  1.301304  1.301304  1.301304       0   
2024-10-18 00:22:00+01:00  1.301152  1.301152  1.301152  1.301152       0   
2024-10-18 00:23:00+01:00  1.301152  1.301152  1.301152  1.301152       0   
2024-10-18 00:24:00+01:00  1.301168  1.301168  1.301168  1.301168       0   
2024-10-18 00:25:00+01:00  1.301101  1.301101  1.301101  1.301101       0   
2024-10-18 00:26:00+01:00  1.301168  1.301168  1.301168  1.301168       0   
