                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-18 00:00:00+01:00  162.666000  162.686996  162.660004  162.677994   
2024-10-18 00:01:00+01:00  162.677994  162.682007  162.669998  162.669998   
2024-10-18 00:02:00+01:00  162.669006  162.671005  162.651993  162.662994   
2024-10-18 00:03:00+01:00  162.662994  162.669998  162.658005  162.662994   
2024-10-18 00:04:00+01:00  162.662003  162.667999  162.654007  162.658005   
2024-10-18 00:05:00+01:00  162.660004  162.660004  162.647995  162.649994   
2024-10-18 00:06:00+01:00  162.649994  162.671997  162.649994  162.667999   
2024-10-18 00:07:00+01:00  162.667999  162.671997  162.658005  162.660004   
2024-10-18 00:08:00+01:00  162.660004  162.664001  162.656998  162.660004   
2024-10-18 00:09:00+01:00  162.658005  162.667007  162.651001  162.658997   
2024-10-18 00:10:00+01:00  162.660004  162.671997  162.658997  162.664993   
2024-10-18 00:11:00+01:00  162.660995  162.688004  162.660995  162.681000   
2024-10-18 00:12:00+01:00  162.686005  162.692001  162.681000  162.688004   
2024-10-18 00:13:00+01:00  162.688004  162.690002  162.682007  162.688004   
2024-10-18 00:14:00+01:00  162.684998  162.686996  162.671005  162.679993   
2024-10-18 00:15:00+01:00  162.681000  162.682007  162.669006  162.675995   
2024-10-18 00:16:00+01:00  162.675003  162.681000  162.673996  162.677994   
2024-10-18 00:17:00+01:00  162.675003  162.679993  162.675003  162.677994   
2024-10-18 00:18:00+01:00  162.677994  162.681000  162.671997  162.679001   
2024-10-18 00:19:00+01:00  162.677994  162.684006  162.677994  162.677994   
2024-10-18 00:20:00+01:00  162.679001  162.681000  162.675003  162.675995   
2024-10-18 00:21:00+01:00  162.675995  162.686996  162.673004  162.682999   
2024-10-18 00:22:00+01:00  162.684998  162.695999  162.682999  162.688004   
2024-10-18 00:23:00+01:00  162.690002  162.694000  162.682007  162.684006   
2024-10-18 00:24:00+01:00  162.684006  162.692993  162.681000  162.688995   
2024-10-18 00:25:00+01:00  162.690002  162.692993  162.684998  162.688004   
2024-10-18 00:26:00+01:00  162.686005  162.690002  162.673996  162.673996   
2024-10-18 00:27:00+01:00  162.675003  162.682999  162.669998  162.673996   
2024-10-18 00:28:00+01:00  162.677994  162.690002  162.673004  162.677994   
2024-10-18 00:29:00+01:00  162.679001  162.682999  162.660004  162.662994   
2024-10-18 00:30:00+01:00  162.667007  162.686005  162.647995  162.682007   
2024-10-18 00:31:00+01:00  162.682007  162.684998  162.664001  162.671997   
2024-10-18 00:32:00+01:00  162.673004  162.695007  162.671997  162.682007   
2024-10-18 00:33:00+01:00  162.682007  162.684998  162.651993  162.673996   
2024-10-18 00:34:00+01:00  162.669998  162.684006  162.639999  162.643997   
2024-10-18 00:35:00+01:00  162.643997  162.654007  162.643005  162.647995   
2024-10-18 00:36:00+01:00  162.647995  162.669998  162.645996  162.664001   
2024-10-18 00:37:00+01:00  162.664993  162.669998  162.656006  162.669998   
2024-10-18 00:38:00+01:00  162.667007  162.671997  162.658005  162.662003   
2024-10-18 00:39:00+01:00  162.667999  162.671005  162.656998  162.667007   
2024-10-18 00:40:00+01:00  162.666000  162.673996  162.664993  162.669998   
2024-10-18 00:41:00+01:00  162.673004  162.673004  162.664001  162.671005   
2024-10-18 00:42:00+01:00  162.667007  162.671005  162.639008  162.645996   
2024-10-18 00:43:00+01:00  162.641998  162.649002  162.630005  162.632004   
2024-10-18 00:44:00+01:00  162.632996  162.645004  162.625000  162.639999   
2024-10-18 00:45:00+01:00  162.641998  162.653000  162.621002  162.626007   
2024-10-18 00:46:00+01:00  162.626007  162.626007  162.593002  162.608994   
2024-10-18 00:47:00+01:00  162.606995  162.613007  162.587997  162.600998   
