                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 00:47:00+01:00  172.835007  172.850998  172.824997  172.834000   
2024-10-17 00:48:00+01:00  172.839005  172.839005  172.819000  172.832993   
2024-10-17 00:49:00+01:00  172.832001  172.860001  172.832001  172.841003   
2024-10-17 00:50:00+01:00  172.848999  172.860001  172.826996  172.837006   
2024-10-17 00:51:00+01:00  172.835007  172.839996  172.759995  172.800003   
2024-10-17 00:52:00+01:00  172.796005  172.828995  172.757004  172.809006   
2024-10-17 00:53:00+01:00  172.817001  172.820999  172.789001  172.817001   
2024-10-17 00:54:00+01:00  172.819000  172.824005  172.804993  172.813995   
2024-10-17 00:55:00+01:00  172.815002  172.819000  172.785995  172.796005   
2024-10-17 00:56:00+01:00  172.794006  172.800995  172.783997  172.794998   
2024-10-17 00:57:00+01:00  172.792007  172.822998  172.789001  172.819000   
2024-10-17 00:58:00+01:00  172.817993  172.817993  172.798004  172.807007   
2024-10-17 00:59:00+01:00  172.804993  172.817001  172.794998  172.804001   
2024-10-17 01:00:00+01:00  172.806000  172.807007  172.738998  172.748001   
2024-10-17 01:01:00+01:00  172.755005  172.770004  172.740997  172.755005   
2024-10-17 01:02:00+01:00  172.755997  172.768997  172.733994  172.750000   
2024-10-17 01:03:00+01:00  172.738007  172.768005  172.731995  172.735992   
2024-10-17 01:04:00+01:00  172.735992  172.748993  172.720993  172.729996   
2024-10-17 01:05:00+01:00  172.735001  172.740005  172.703995  172.707993   
2024-10-17 01:06:00+01:00  172.705994  172.720001  172.686005  172.712997   
2024-10-17 01:07:00+01:00  172.710007  172.729004  172.703995  172.712997   
2024-10-17 01:08:00+01:00  172.705994  172.712997  172.679993  172.703995   
2024-10-17 01:09:00+01:00  172.707001  172.716003  172.686005  172.709000   
2024-10-17 01:10:00+01:00  172.710999  172.727005  172.699997  172.714996   
2024-10-17 01:11:00+01:00  172.716995  172.729004  172.690002  172.701004   
2024-10-17 01:12:00+01:00  172.705002  172.709000  172.664993  172.707993   
2024-10-17 01:13:00+01:00  172.705002  172.718002  172.682007  172.692993   
2024-10-17 01:14:00+01:00  172.699997  172.705994  172.686005  172.701004   
2024-10-17 01:15:00+01:00  172.699997  172.723999  172.697998  172.716003   
2024-10-17 01:16:00+01:00  172.716003  172.723007  172.699005  172.710007   
2024-10-17 01:17:00+01:00  172.712006  172.725998  172.697006  172.718994   
2024-10-17 01:18:00+01:00  172.718994  172.737000  172.699997  172.733994   
2024-10-17 01:19:00+01:00  172.735001  172.746994  172.707993  172.725998   
2024-10-17 01:20:00+01:00  172.727005  172.729996  172.692001  172.705002   
