                               Open      High       Low     Close  Volume  \
Datetime                                                                    
2024-10-18 00:00:00+01:00  0.605730  0.605730  0.605730  0.605730       0   
2024-10-18 00:02:00+01:00  0.605657  0.605657  0.605657  0.605657       0   
2024-10-18 00:04:00+01:00  0.605620  0.605620  0.605620  0.605620       0   
2024-10-18 00:06:00+01:00  0.605657  0.605657  0.605657  0.605657       0   
2024-10-18 00:08:00+01:00  0.605694  0.605694  0.605694  0.605694       0   
2024-10-18 00:10:00+01:00  0.605657  0.605657  0.605657  0.605657       0   
2024-10-18 00:12:00+01:00  0.605657  0.605657  0.605657  0.605657       0   
2024-10-18 00:14:00+01:00  0.605694  0.605694  0.605694  0.605694       0   
2024-10-18 00:16:00+01:00  0.605804  0.605804  0.605804  0.605804       0   
2024-10-18 00:18:00+01:00  0.605840  0.605840  0.605840  0.605840       0   
2024-10-18 00:20:00+01:00  0.605804  0.605804  0.605804  0.605804       0   
2024-10-18 00:22:00+01:00  0.605730  0.605730  0.605730  0.605730       0   
2024-10-18 00:24:00+01:00  0.605730  0.605730  0.605730  0.605730       0   
2024-10-18 00:26:00+01:00  0.605694  0.605694  0.605694  0.605694       0   
2024-10-18 00:28:00+01:00  0.605694  0.605694  0.605694  0.605694       0   
2024-10-18 00:30:00+01:00  0.605694  0.605694  0.605694  0.605694       0   
2024-10-18 00:32:00+01:00  0.605694  0.605694  0.605694  0.605694       0   
2024-10-18 00:34:00+01:00  0.605583  0.605583  0.605583  0.605583       0   
2024-10-18 00:36:00+01:00  0.605767  0.605767  0.605767  0.605767       0   
2024-10-18 00:38:00+01:00  0.605804  0.605804  0.605804  0.605804       0   
2024-10-18 00:40:00+01:00  0.605804  0.605804  0.605804  0.605804       0   
2024-10-18 00:42:00+01:00  0.605840  0.605840  0.605840  0.605840       0   
2024-10-18 00:44:00+01:00  0.605840  0.605840  0.605840  0.605840       0   
2024-10-18 00:46:00+01:00  0.605950  0.605950  0.605950  0.605950       0   
2024-10-18 00:48:00+01:00  0.606024  0.606024  0.606024  0.606024       0   
2024-10-18 00:50:00+01:00  0.606097  0.606097  0.606097  0.606097       0   
2024-10-18 00:52:00+01:00  0.606171  0.606171  0.606171  0.606171       0   
2024-10-18 00:54:00+01:00  0.606244  0.606244  0.606244  0.606244       0   
2024-10-18 00:56:00+01:00  0.606244  0.606244  0.606244  0.606244       0   
2024-10-18 00:58:00+01:00  0.606171  0.606171  0.606171  0.606171       0   
2024-10-18 01:00:00+01:00  0.606208  0.606208  0.606208  0.606208       0   
2024-10-18 01:02:00+01:00  0.606134  0.606134  0.606134  0.606134       0   
2024-10-18 01:04:00+01:00  0.606244  0.606244  0.606244  0.606244       0   
2024-10-18 01:06:00+01:00  0.606244  0.606244  0.606244  0.606244       0   
2024-10-18 01:08:00+01:00  0.606208  0.606208  0.606208  0.606208       0   
2024-10-18 01:10:00+01:00  0.606208  0.606208  0.606208  0.606208       0   
2024-10-18 01:12:00+01:00  0.606244  0.606244  0.606244  0.606244       0   
